rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate
77.22,343,-17.230999999999998,198656,97,578,0.204296875,-0.012264824169687927,0.2672842741012573,960,-0.7419998273253441,0.2,0.1669419,6.417181015014648,26.33815109729767,0.0003
78.2,346,-17.604,200704,98,578,0.20078125,-0.008641244989121333,-0.07530057430267334,970,-0.7324718199670315,0.2,0.04297336,5.161701202392578,25.208102095127106,0.0003
75.69,350,-14.610500000000002,202752,99,578,0.20888671875,-0.01127857855753973,0.4840623140335083,980,-0.7455194585025311,0.2,0.029297724,7.142040252685547,24.2296821475029,0.0003
71.26,353,-9.033999999999999,204800,100,579,0.172265625,-0.013800332596292719,0.5369909405708313,990,-0.8020250283181667,0.2,0.037157405,10.36271858215332,28.669940626621248,0.0003
78.56,357,-16.071,206848,101,579,0.2224609375,-0.018729953531874344,0.5444223880767822,1000,-0.7825018383562565,0.2,0.034212157,6.778715133666992,28.66111809015274,0.0003
73.59,360,-11.814500000000002,208896,102,579,0.204150390625,-0.012779514963040129,0.34703707695007324,1010,-0.8298039324581623,0.2,0.037822995,4.104038238525391,23.401076716184615,0.0003
72.96,363,-11.827999999999998,210944,103,579,0.231298828125,-0.020989535708213224,0.33764880895614624,1020,-0.7412024192512036,0.2,0.044529155,4.516533851623535,22.114558255672456,0.0003
74.81,367,-14.263499999999999,212992,104,579,0.234130859375,-0.018707588029792534,0.20750874280929565,1030,-0.7593211852014065,0.2,0.035473928,5.842177391052246,24.596221733093262,0.0003
75.2,370,-14.709000000000001,215040,105,579,0.23515625,-0.01532091763219796,0.3856663107872009,1040,-0.788735157251358,0.2,0.03887108,5.745993137359619,23.037097585201263,0.0003
77.01,374,-15.663499999999997,217088,106,579,0.1994140625,-0.011134803807362915,0.4046756625175476,1050,-0.7872783102095127,0.2,0.024609827,4.921774387359619,23.554359638690947,0.0003
84.37,377,-23.35149999999999,219136,107,580,0.209765625,-0.015464908082503826,0.4067319631576538,1060,-0.8319671891629696,0.2,0.03572285,6.084931373596191,26.03441106081009,0.0003
81.79,381,-20.642499999999995,221184,108,580,0.235546875,-0.012875691161025316,0.5816192626953125,1070,-0.8218659050762653,0.2,0.03588476,3.6449527740478516,20.975357419252397,0.0003
79.13,384,-18.922500000000003,223232,109,580,0.263330078125,-0.026416769094066695,0.4793195128440857,1080,-0.8124169655144214,0.2,0.040102065,5.042219638824463,23.719486236572266,0.0003
71.38,387,-11.752,225280,110,580,0.206396484375,-0.007907500912551768,0.4184131622314453,1090,-0.7704817429184914,0.2,0.034512814,3.8455684185028076,22.262934851646424,0.0003
64.45,391,-5.195500000000001,227328,111,580,0.208837890625,-0.015520204149652272,0.5384334921836853,1100,-0.7292168006300926,0.2,0.024017042,3.790491819381714,21.658596014976503,0.0003
68.63,394,-8.410500000000003,229376,112,581,0.210595703125,-0.018350443872623145,0.6673814654350281,1110,-0.7259185418486596,0.2,0.029054489,9.157464981079102,29.14014881849289,0.0003
72.2,398,-11.805,231424,113,581,0.19599609375,-0.009014303790172562,0.5624309778213501,1120,-0.8437176793813705,0.2,0.026729014,6.600510120391846,21.9520665705204,0.0003
71.7,401,-11.224999999999998,233472,114,581,0.2283203125,-0.010202972254774068,0.35328853130340576,1130,-0.8350795939564705,0.2,0.03239473,3.333787679672241,22.28508742451668,0.0003
74.64,405,-14.519,235520,115,581,0.240966796875,-0.004375025513581932,0.3874993324279785,1140,-0.7984025664627552,0.2,0.033111334,5.349613189697266,23.202785873413085,0.0003
72.57,408,-12.8135,237568,116,581,0.179638671875,-0.006414447666611522,0.27515071630477905,1150,-0.7479437172412873,0.2,0.022740118,6.015105724334717,24.515294742584228,0.0003
73.92,412,-12.850999999999999,239616,117,581,0.252880859375,-0.010185622444259934,0.6122786998748779,1160,-0.792093838006258,0.2,0.032895844,5.1655778884887695,20.993266516923903,0.0003
70.63,415,-9.608500000000001,241664,118,581,0.20966796875,-0.011455150984693319,0.41940218210220337,1170,-0.8627667374908924,0.2,0.03711995,4.332486629486084,21.675729036331177,0.0003
75.32,419,-13.530000000000003,243712,119,581,0.244921875,-0.011461459303973243,0.5502424240112305,1180,-0.8243409842252731,0.2,0.030211138,2.330106019973755,20.514505755901336,0.0003
75.36,422,-13.511000000000001,245760,120,581,0.255908203125,-0.021957808308070526,0.2354525923728943,1190,-0.8041637569665909,0.2,0.08084674,5.3806633949279785,27.08199825286865,0.0003
73.79,426,-12.2115,247808,121,581,0.175732421875,-0.010294144554063678,0.6083242893218994,1200,-0.8287095047533513,0.2,0.020079328,5.218498706817627,22.844058775901793,0.0003
74.91,430,-13.863499999999998,249856,122,580,0.211474609375,-0.014504648442380131,0.6000922918319702,1210,-0.7973527103662491,0.2,0.030715754,6.293497562408447,27.14125143289566,0.0003
65.24,433,-5.339999999999998,251904,123,580,0.203759765625,-0.007190456509124488,0.45349109172821045,1220,-0.7685033306479454,0.2,0.025451591,5.107293128967285,23.02412462234497,0.0003
66.83,437,-7.0695,253952,124,580,0.25048828125,-0.018698358681285755,0.5686538815498352,1230,-0.711712659150362,0.2,0.032763086,4.8695855140686035,21.005067157745362,0.0003
65.49,441,-4.8815,256000,125,580,0.17744140625,-0.012781673073186539,0.336948037147522,1240,-0.758149828761816,0.2,0.018006431,4.759703159332275,21.202559649944305,0.0003
71.92,444,-10.596999999999998,258048,126,580,0.21162109375,-0.015319960308261216,0.42681771516799927,1250,-0.8013793110847474,0.2,0.03778877,5.5370588302612305,21.003311973810195,0.0003
71.19,447,-10.0085,260096,127,580,0.217578125,-0.018628041568445042,0.4875749945640564,1260,-0.839146438986063,0.2,0.028134234,6.532303333282471,28.02983227968216,0.0003
